N,omega,ell,corr_f_vs_dx,corr_f_vs_deltaf,gradient_cosine_mean,gradient_cosine_std,frac_gradient_aligned,delta_f_over_f_std,delta_f_relative,frac_deltaf_positive,particle_ablation_mean,particle_ablation_std,frac_toward_nn,mean_toward_nn,frac_nn_direction,mean_abs_delta_angle,max_delta_angle,frac_rad_inner,frac_rad_outer,frac_rad_gradient
12,0.001,31.622776601683796,0.5621726512908936,-0.2412257343530655,-0.4813453042658332,0.20577725762715374,0.01171875,0.028734460979725526,0.001876378678748606,0.02392578125,0.09882504336466463,0.0019263877127989712,0.6103515625,0.11458694466221188,0.5077332929925035,0.003402045909850721,0.13995328749616798,0.5163029714030896,0.6343625116683539,0.11805954026526433
12,0.01,10.0,-0.05838173255324364,0.12953312695026398,0.2223578133501669,0.23587644403967015,0.8203125,0.04968380392923411,0.0009561277013528697,0.787109375,0.0591099756791412,0.0011319428869859941,0.2901611328125,-0.1162716540006131,0.5386025394543998,0.006948873425540202,1.0570726643364594,0.563901872409971,0.5365840225289854,-0.027317849880985623
12,0.1,3.162277660168379,-0.39382901787757874,-0.8129301071166992,0.561213368428815,0.10675338781800825,1.0,0.38749595389612246,0.007109311365149857,1.0,0.1260738621278952,0.001993973511196425,0.1219075545668602,-0.22835395769875794,0.6643690956849464,0.035649476409675536,2.1509758270745003,0.5178958980178273,0.45755707951956975,-0.06033881849825756
12,0.5,1.414213562373095,-0.6055102944374084,-0.9047236442565918,0.6499999832315074,0.14881506174609963,1.0,0.49257366875735564,0.010255085583229212,0.99853515625,0.085848739444153,0.002244661636008174,0.1960042417049408,-0.08063446778955885,0.5939452820664033,0.04156127996840076,3.0787917090464667,0.5214538182283671,0.5066302148768406,-0.014823603351526549
12,1.0,1.0,-0.7814986705780029,-0.9368526339530945,0.7473211937892736,0.14954077952996908,1.0,0.5527789531059517,0.01492121132426095,1.0,0.06873712832294039,0.0008829700276733786,0.2107340544462204,-0.05071761156319674,0.573507817580725,0.038161079427335994,3.1069429972554383,0.5402021560592144,0.5224520673219885,-0.017750088737225944
20,0.001,31.622776601683796,0.04197058081626892,-0.06635961681604385,0.319244339486917,0.15236687989205538,0.97265625,0.05894432493566182,0.00821908409605867,0.9736328125,0.41766860133201966,0.029379590767052977,0.44287109375,-0.08081405532841213,0.4995090688900806,0.012167318994379806,1.1388319210334377,0.5060866103692706,0.4454366158424013,-0.06064999452686931
20,0.01,10.0,0.5874550938606262,0.4285016655921936,0.22295725970360591,0.21677599576649925,0.890625,0.07445942430971446,0.004962445097497223,0.8681640625,0.3185864124360923,0.015466194926041631,0.4457031190395355,-0.045893924207361235,0.510513555310922,0.020711279051821414,3.0084329186371472,0.5123864160399954,0.55738392725436,0.04499751121436468
20,0.1,3.162277660168379,-0.32555004954338074,-0.6934243440628052,0.3897276100593532,0.09443730725454336,1.0,0.2472990528628909,0.0026862083601580473,0.998046875,0.11423086655891124,0.0023540473046237357,0.1689453125,-0.1610915256560911,0.6392533781395927,0.023681639286866996,3.1129642155340127,0.50408990451116,0.5019368752748122,-0.0021530292363477477
20,0.5,1.414213562373095,-0.6729974150657654,-0.9240200519561768,0.649222489301406,0.1230286722769767,1.0,0.5776832256364797,0.008293593970719267,1.0,0.11135175374537995,0.003287552235667307,0.223876953125,-0.07591926044559495,0.5716906382081209,0.035728494141915056,2.249331036683425,0.5067594547015655,0.5083708723714294,0.001611417669863946
20,1.0,1.0,-0.7887235879898071,-0.9416459798812866,0.7766484194655452,0.11265749521543894,1.0,0.6936975618827973,0.010811422370250392,1.0,0.09687594027420583,0.002712529916555273,0.25371095538139343,-0.04703612849361883,0.5481655605937036,0.03255841916012614,2.598391359798071,0.5421896120839137,0.5212778762629068,-0.020911735821006916
