N,omega_str,omega,run_name,run_dir,f_ckpt,bf_ckpt,layer,view,n,F,eff_rank,pr,idim,expvar_pc1,expvar_pc2,expvar_pc3,expvar_cum3,expvar_cum10,note
2,0p5,0.5,w_05,../results/models/2p/w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,rho_v_to_e@rho_v_to_e,edge_instances,2048,128,2.4688944190412583,2.1368123766254072,0.8640666050818857,0.626205470608378,0.2416345457583887,0.13215998361875939,0.999999999985526,0.9999999999863305,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,dx_head@dx_head,pooled_BxH,512,2,1.0688873255082205,1.0250412866449923,2.099205526008124,0.9876322694537478,0.012367730541470416,nan,nan,nan,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,dx_head@dx_head,node_instances,1024,2,1.1738935450114565,1.0780757238967997,1.3399497420901474,0.9623735649880194,0.037626435009590946,nan,nan,nan,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,dx_head@dx_head,edge_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_embed@edge_embed,pooled_BxH,512,128,1.0538760045390005,1.0158966784747123,2.095644621571254,0.9921285635213547,0.005407242917503949,0.0018539422891629715,0.9993897487280217,0.9999999112803823,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_embed@edge_embed,node_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_embed@edge_embed,edge_instances,1024,128,2.0990259399041404,1.6328511183123229,1.303398563010135,0.7645448559069392,0.1458441069700008,0.08126722394278166,0.9916561868197217,0.9999824949117286,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_update@edge_update,pooled_BxH,512,128,1.1383635632896318,1.046801927727479,3.2396315371974285,0.977249649451754,0.015691238624717437,0.005131298950886758,0.9980721870273581,0.9999670832664015,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_update@edge_update,node_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,edge_update@edge_update,edge_instances,1024,128,2.11388872851283,1.6089904434874522,1.9078290622832308,0.7709937991160494,0.15379955782876797,0.05763761293677227,0.9824309698815896,0.9997161332584658,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_embed@node_embed,pooled_BxH,512,128,1.9708997383718798,1.9433125006862264,2.1774178705813183,0.5853969448957378,0.41460305492151384,1.4390896028926523e-12,0.9999999998186907,0.9999999998287638,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_embed@node_embed,node_instances,1024,128,2.412282046242101,2.0426012323135376,1.3069561015965676,0.6551005092831896,0.1940982095702427,0.1508012811249927,0.999999999978425,0.9999999999796242,
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_embed@node_embed,edge_instances,,,,,,,,,,,empty
2,0p1,0.1,w_01,../results/models/2p/w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,node_update@node_update,pooled_BxH,512,128,1.0542095447144673,1.0164757747936182,2.7979874880034625,0.991843654002751,0.005574507490680561,0.002523108768085561,0.9999412702615171,0.9999993758466238,
