N,seed,omega,cell,E_raw,err,var,deff,kappa,bfrank,overlap_vmc_colloc
2,1,0.1,vmc_adam,0.44079559449977107,0.005819793979686053,3.027481452896072e-08,2.0014433284224857,988362903494.9829,1.9950536788523248,0.9997564362546761
2,1,0.1,vmc_sr,0.4407889939480452,0.006258760432642368,3.197023526100903e-08,2.1075237178283768,993898887668.6349,1.9990304484947745,0.9998715397521268
2,1,0.1,colloc_adam,0.4407076434812846,-0.10174163351703373,1.148557451632514e-05,1.9211589080387177,993905700619.769,1.9697876763233446,0.9997564362546761
2,1,0.1,colloc_sr,0.44095487924554594,-0.09130498780331403,2.389502080957278e-05,1.9596937406439805,994581341033.4556,1.999958714864573,0.9998715397521268
2,1,1.0,vmc_adam,2.9998142276653916,0.0006511035054964272,1.4751084301196327e-05,3.6294146196503023,987339254800.0182,1.9986462437935852,1.0
2,1,1.0,vmc_sr,2.9998344786004494,0.0021319461776266495,3.72202479238911e-06,3.764300452466803,995798589348.7505,1.9982934691752583,0.9998328310959268
2,1,1.0,colloc_adam,3.0032882055034613,-0.11337449661558512,0.003573876006920503,3.6023947595842296,983027093246.6207,1.9917591485176063,1.0
2,1,1.0,colloc_sr,3.0032892025092157,-0.41436117582702714,0.0019758600128792644,3.6555202393722728,977497155104.7522,1.993891933015288,0.9998328310959268
6,0,0.01,vmc_adam,0.6908277727062511,0.08370893346406881,4.194447565584536e-05,4.6279300004511885,2637275.3644022164,9.646956464146562,1.0152043970806587e-05
6,0,0.01,vmc_sr,0.6922886405567416,0.2989909214198635,5.103516789777837e-05,6.708044083500613,1860493.0272293824,9.648993466871357,0.953289285031862
6,0,0.01,colloc_adam,0.8340853504294584,19.48051646608447,0.003506304031884167,1.3933780715974131,991050346473.674,4.715741221837111,1.0152043970806587e-05
6,0,0.01,colloc_sr,0.6933618652729416,0.4417715025587729,7.991818093004013e-05,4.7221870863077475,6103420.648975552,9.79650863676007,0.953289285031862
6,0,0.1,vmc_adam,3.5517079665938724,-0.05147938934182823,0.0005918456864343146,6.400416458952449,1907470.4572270121,8.252672888558466,0.7696896156503868
6,0,0.1,vmc_sr,3.5528185780926997,-0.03608444273231232,0.0007230319634195744,7.350901444244332,2223750.732611962,8.960968540175685,0.9473093243581616
6,0,0.1,colloc_adam,3.603513471412123,1.3922989123204295,0.014119334910780214,5.595414749377041,7462728.278787133,9.112156161998707,0.7696896156503868
6,0,0.1,colloc_sr,3.579670150753318,0.5895705005597034,0.016791003789291097,6.951126571041847,1923063.1921665284,8.323022457644617,0.9473093243581616
6,0,1.0,vmc_adam,20.153485198013513,-0.027194271527027265,0.019182856472317066,4.121099914314552,8972335.20539156,9.85677016427633,0.8532385981897413
6,0,1.0,vmc_sr,20.15341817360537,-0.023191884998895542,0.02193381428064981,3.9931679977736003,13056682.232767414,9.725356624556873,0.9419013686316163
6,0,1.0,colloc_adam,23.356075066843726,0.36407598422792886,2.7217871837964958,7.591774933208808,1862115.1001494478,8.56258595639301,0.8532385981897413
6,0,1.0,colloc_sr,20.454542327819556,0.48857603475421213,1.8311626791917577,4.311863826473554,7929821.2256127875,8.807847699188144,0.9419013686316163
6,1,0.01,vmc_adam,0.6910500903681314,0.11125656829101675,5.4267210886895695e-05,6.096900610357398,2101268.001507911,9.719020837488364,0.0004477801169625125
6,1,0.01,vmc_sr,0.6928633767573507,0.3659117293071875,5.3163183779472827e-05,8.774826001902408,1679164.823555229,9.854871365287686,0.9553784747152316
6,1,0.01,colloc_adam,0.5686145811031724,13.69414503208732,0.00206704939899641,1.710719352864604,982560832647.324,7.135575955960554,0.0004477801169625125
6,1,0.01,colloc_sr,0.6934774600401526,0.45245523412869076,9.029471973827443e-05,5.7411981734944275,3214672.1249760604,9.66768056823501,0.9553784747152316
6,1,0.1,vmc_adam,3.553301850085995,-0.028996890934397862,0.0007508913298186439,6.454286269209924,2678303.6505550686,8.490009156076322,0.7712462396648322
6,1,0.1,vmc_sr,3.553819715827736,-0.017600429984967334,0.0006755668292833235,7.096343469148563,2404245.792171209,9.04666247920007,0.9359149594481811
