N,omega,E_mean,E_stderr,T_mean,T_stderr,V_int_mean,V_int_stderr,V_trap_mean,V_trap_stderr,Gamma,classical_ratio,rrms,acc,virial_resid,virial_resid_rel,closure,n_samples_effective
12,0.001,0.5152796836535136,4.232000625282935e-06,0.00809296020289262,4.066932659043577e-06,0.3326997123209635,1.3181814859644834e-05,0.17448701104482015,1.2822365662040488e-05,41.10976749917151,1.0489159117546112,170.532016077539,0.43655560897435897,-8.838936289151667e-05,0.00012665779183748975,8.483735935982395e-11,600000
12,0.01,2.473628321940104,3.5562870560530784e-05,0.07422928298950195,4.108126142170624e-05,1.549705912882487,9.802832521161288e-05,0.8496931396484375,8.99848542242301e-05,20.877285223159948,1.0965863040013697,37.631838019785796,0.45908161195706443,-0.0012218004353841128,0.00035961212130540375,-1.358032220011296e-08,600000
12,0.1,12.271824141438803,0.00010713405240013512,0.7581800152079264,0.00047662894104514485,7.173446782633463,0.0007144093115442752,4.340197326863607,0.0006380217463674523,9.461403147992746,1.2100730536876627,8.505093892156243,0.463511889501346,0.009412159322101488,0.0005418566583757733,1.6733805452417982e-08,600000
12,0.5,39.16035505208333,0.0003193915302870366,4.140773513590495,0.0029261009469213188,20.572038483072916,0.003425427232814345,14.447543111979167,0.0025828210451069224,4.968163174236195,1.4045806033142407,3.1034972866084662,0.5660150399400898,-0.04150071370442987,0.0007186436061323894,-5.655924439906812e-08,600000
12,1.0,65.69556231526693,0.000468788882915722,8.864696015675863,0.005565871081683972,31.975174524129233,0.006187843295634848,24.855691760864257,0.00475140151547751,3.6070243658198784,1.554686855085501,2.035341566783663,0.5600964343598055,-0.006816966247555456,6.857014636244175e-05,1.4597574704566796e-08,600000
20,0.001,1.2930328657531738,5.943594685559148e-06,0.014696449368596078,6.089523661433582e-06,0.8415824362564087,2.041968954040474e-05,0.4367539796288808,1.980180039455044e-05,57.26433747016021,1.0379351108411512,208.98659756761455,0.29331588003933134,-0.0025326242641606767,0.0014517904943581253,4.992881663667958e-10,600000
20,0.01,6.146452986755371,4.746094367893344e-05,0.13611765230496725,5.944417293790149e-05,3.9140803855895996,0.0001494163610409503,2.096254942398071,0.00014090595306931225,28.755127048622814,1.0711353553778895,45.784876786970514,0.31968413461538464,-0.0061941945966084155,0.0007392676385451085,6.462732571321794e-09,600000
20,0.1,29.988812888997394,0.00017611762528209446,1.4097253793525695,0.0007231650863805901,18.10212990407308,0.0011250072143831902,10.476957599182128,0.000992376801452886,12.840890977210515,1.1575386603346332,10.235701050334622,0.4479697800675863,-0.03233453558603827,0.0007721588705064733,6.3896159474552405e-09,600000
20,0.5,93.87886497395833,0.0004963399079789009,7.970095410003662,0.004439787510351744,51.99825832010905,0.005343681957526718,33.91051115071615,0.003972435153649143,6.524170119073287,1.3042941146973797,3.682961371001121,0.3031214408687591,0.11742683868408221,0.0008649624032651042,9.312947213402367e-08,600000
20,1.0,155.87383623209635,0.0007956360554148299,17.324508248799642,0.008820017011870367,80.7903557047526,0.00987936919609699,57.75897243570964,0.00727297864799773,4.6633563587786275,1.4298482023470505,2.403309643714468,0.4180287795689989,-0.07857266906738403,0.00034020428563554347,-1.571655445786746e-07,600000
