file,N,omega,k,mae_pc,mae_rand
analysis_CTNN_N20_omega_0.01.json,20,0.01,8,0.01697536375582737,5.677013397216797
analysis_CTNN_N20_omega_0.01.json,20,0.01,12,1.8671195976177814e-14,1.039017454024108e-14
analysis_CTNN_N20_omega_0.5.json,20,0.5,1,0.30024289893637485,4.2345967292785645
analysis_CTNN_N20_omega_0.5.json,20,0.5,2,0.2988465960070454,4.30031681060791
analysis_CTNN_N20_omega_0.5.json,20,0.5,3,0.299219840831772,4.073652744293213
analysis_CTNN_N20_omega_0.5.json,20,0.5,4,0.1196517759658361,3.719101667404175
analysis_CTNN_N20_omega_0.5.json,20,0.5,6,0.043934896741533246,1.9636794328689575
analysis_CTNN_N20_omega_0.5.json,20,0.5,8,0.0033838145236095673,1.2626335620880127
analysis_CTNN_N20_omega_0.5.json,20,0.5,12,3.4749170288997597e-15,3.0816117412295514e-15
analysis_CTNN_N20_omega_1.0.json,20,1.0,1,0.4750776017150579,3.4691944122314453
analysis_CTNN_N20_omega_1.0.json,20,1.0,2,0.2622142077977427,3.573380470275879
analysis_CTNN_N20_omega_1.0.json,20,1.0,3,0.16106009444684916,3.332045793533325
analysis_CTNN_N20_omega_1.0.json,20,1.0,4,0.1610775352448298,3.125804901123047
analysis_CTNN_N20_omega_1.0.json,20,1.0,6,0.02308271611730053,1.6519775390625
analysis_CTNN_N20_omega_1.0.json,20,1.0,8,0.0028957037423018354,1.010693073272705
analysis_CTNN_N20_omega_1.0.json,20,1.0,12,3.734239195235563e-15,2.8190482564814266e-15
