file,N,omega,idx,corr
analysis_CTNN_N12_omega_0.001.json,12,0.001,1,0.017576715224544563
analysis_CTNN_N12_omega_0.001.json,12,0.001,2,0.03286544216485498
analysis_CTNN_N12_omega_0.001.json,12,0.001,3,-0.004023081610446833
analysis_CTNN_N12_omega_0.001.json,12,0.001,4,0.05655545438203084
analysis_CTNN_N12_omega_0.001.json,12,0.001,5,0.25528058465813214
analysis_CTNN_N12_omega_0.001.json,12,0.001,6,0.2456918824992145
analysis_CTNN_N12_omega_0.001.json,12,0.001,7,0.24491687288692074
analysis_CTNN_N12_omega_0.001.json,12,0.001,8,0.24585196539964158
analysis_CTNN_N12_omega_0.001.json,12,0.001,9,-0.2561235318029932
analysis_CTNN_N12_omega_0.001.json,12,0.001,10,-0.039009882599004196
analysis_CTNN_N12_omega_0.001.json,12,0.001,11,-0.08811315339873328
analysis_CTNN_N12_omega_0.01.json,12,0.01,0,0.08046991227101187
analysis_CTNN_N12_omega_0.01.json,12,0.01,1,0.08303620002798501
analysis_CTNN_N12_omega_0.01.json,12,0.01,2,-0.06452327195167976
analysis_CTNN_N12_omega_0.01.json,12,0.01,3,0.08203204262836056
analysis_CTNN_N12_omega_0.01.json,12,0.01,4,0.010339563092559362
analysis_CTNN_N12_omega_0.01.json,12,0.01,5,-0.0719454582607705
analysis_CTNN_N12_omega_0.01.json,12,0.01,6,-0.0736678552890761
analysis_CTNN_N12_omega_0.01.json,12,0.01,7,-0.07436965807667974
analysis_CTNN_N12_omega_0.01.json,12,0.01,8,-0.0717233342061917
analysis_CTNN_N12_omega_0.01.json,12,0.01,9,0.07224682045002438
analysis_CTNN_N12_omega_0.01.json,12,0.01,10,0.07100261351928441
analysis_CTNN_N12_omega_0.01.json,12,0.01,11,0.07899840033729871
analysis_CTNN_N12_omega_0.1.json,12,0.1,0,-0.01610519658431581
analysis_CTNN_N12_omega_0.1.json,12,0.1,1,-0.09870871273305294
analysis_CTNN_N12_omega_0.1.json,12,0.1,2,-0.0033802845484386668
analysis_CTNN_N12_omega_0.1.json,12,0.1,3,-0.03717881598249273
analysis_CTNN_N12_omega_0.1.json,12,0.1,4,-0.030811139291603014
analysis_CTNN_N12_omega_0.1.json,12,0.1,5,0.07704726325200531
analysis_CTNN_N12_omega_0.1.json,12,0.1,6,-0.025017942336095923
analysis_CTNN_N12_omega_0.1.json,12,0.1,7,-0.09253386730659245
analysis_CTNN_N12_omega_0.1.json,12,0.1,8,-0.027932851466164504
analysis_CTNN_N12_omega_0.1.json,12,0.1,9,0.1535201439091898
analysis_CTNN_N12_omega_0.1.json,12,0.1,10,-0.015755756922343878
analysis_CTNN_N12_omega_0.1.json,12,0.1,11,0.022058490761640615
analysis_CTNN_N12_omega_0.5.json,12,0.5,0,0.07315958197694886
analysis_CTNN_N12_omega_0.5.json,12,0.5,1,0.0733516704012985
analysis_CTNN_N12_omega_0.5.json,12,0.5,2,-0.0016390437624504838
analysis_CTNN_N12_omega_0.5.json,12,0.5,3,0.005888410598275723
analysis_CTNN_N12_omega_0.5.json,12,0.5,4,0.035240962464974934
analysis_CTNN_N12_omega_0.5.json,12,0.5,5,0.006559564302972571
analysis_CTNN_N12_omega_0.5.json,12,0.5,6,-0.05726189281632127
analysis_CTNN_N12_omega_0.5.json,12,0.5,7,0.054789444110623794
analysis_CTNN_N12_omega_0.5.json,12,0.5,8,-0.07462480555016199
analysis_CTNN_N12_omega_0.5.json,12,0.5,9,-0.03645817047760822
analysis_CTNN_N12_omega_0.5.json,12,0.5,10,-0.08656926617588243
analysis_CTNN_N12_omega_0.5.json,12,0.5,11,0.010330811968079662
analysis_CTNN_N12_omega_1.0.json,12,1.0,0,-0.09072482714298223
analysis_CTNN_N12_omega_1.0.json,12,1.0,1,-0.047420934904830424
analysis_CTNN_N12_omega_1.0.json,12,1.0,2,-0.09543349669227344
analysis_CTNN_N12_omega_1.0.json,12,1.0,3,0.10717595635647748
analysis_CTNN_N12_omega_1.0.json,12,1.0,4,0.038548031596458664
analysis_CTNN_N12_omega_1.0.json,12,1.0,5,-0.20825842944687156
analysis_CTNN_N12_omega_1.0.json,12,1.0,6,0.0014714860341331975
analysis_CTNN_N12_omega_1.0.json,12,1.0,7,0.10164090262344297
analysis_CTNN_N12_omega_1.0.json,12,1.0,8,-0.08856619682015354
analysis_CTNN_N12_omega_1.0.json,12,1.0,9,-0.1012249367858804
analysis_CTNN_N12_omega_1.0.json,12,1.0,10,-0.17522385146121558
analysis_CTNN_N12_omega_1.0.json,12,1.0,11,-0.0345078695215714
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,0,0.5489461621816089
analysis_CTNN_N20_omega_0.001.json,20,0.001,0,0.5489461621816089
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,1,0.13552738306007414
analysis_CTNN_N20_omega_0.001.json,20,0.001,1,0.13552738306007414
