file,N,omega,idx,std,w_eff,importance
analysis_CTNN_N2_omega_0.1.json,2,0.1,5,0.32141350159313725,0.08601352140093244,0.027645907097829943
analysis_CTNN_N2_omega_0.1.json,2,0.1,6,0.3565802807283519,0.4124737212057261,0.14707999530060578
analysis_CTNN_N2_omega_0.1.json,2,0.1,7,0.45630555074394735,0.10499059592964073,0.04790779169860995
analysis_CTNN_N2_omega_0.1.json,2,0.1,8,0.21188419726919117,0.04608759162178876,0.00976523235485301
analysis_CTNN_N2_omega_0.1.json,2,0.1,9,0.3623961677478781,0.23860879050624248,0.08647091127041855
analysis_CTNN_N2_omega_0.1.json,2,0.1,10,0.49356506531424055,0.057936042699264445,0.028595206698911087
analysis_CTNN_N2_omega_0.1.json,2,0.1,11,0.585903846428991,1.1181891509363158,0.6551513245687549
analysis_CTNN_N2_omega_0.5.json,2,0.5,0,0.048964801575102516,0.005381297910282423,0.0002634941843934927
analysis_CTNN_N2_omega_0.5.json,2,0.5,1,0.02275073757963818,0.00966239074431087,0.00021982651621574144
analysis_CTNN_N2_omega_0.5.json,2,0.5,2,0.03222696663515439,0.05057803995590718,0.0016299768061305263
analysis_CTNN_N2_omega_0.5.json,2,0.5,3,0.0599900704071841,0.08259856534542083,0.004955093750604192
analysis_CTNN_N2_omega_0.5.json,2,0.5,4,0.04985509145480767,0.035509570429687436,0.0017703328812930011
analysis_CTNN_N2_omega_0.5.json,2,0.5,5,0.5685767511148879,0.015601254564605972,0.008870510633659979
analysis_CTNN_N2_omega_0.5.json,2,0.5,6,0.49590395235479445,0.04829036521809531,0.023947382972309958
analysis_CTNN_N2_omega_0.5.json,2,0.5,7,0.15825877461491766,0.06544929420448373,0.010357925100212826
analysis_CTNN_N2_omega_0.5.json,2,0.5,8,0.19420210954045425,0.02580368266818433,0.005011129608073854
analysis_CTNN_N2_omega_0.5.json,2,0.5,9,0.6848181250163767,0.10284421005713199,0.07042957910011552
analysis_CTNN_N2_omega_0.5.json,2,0.5,10,0.4300774245267609,0.008572917880623783,0.0036870184427780944
analysis_CTNN_N2_omega_0.5.json,2,0.5,11,0.8302001996107317,0.422614656485131,0.3508547721723766
analysis_CTNN_N2_omega_1.0.json,2,1.0,0,0.2612429673915679,0.002789492077921129,0.0007287351879513864
analysis_CTNN_N2_omega_1.0.json,2,1.0,1,0.05631470719158935,0.007284424915199934,0.00041022025615860234
analysis_CTNN_N2_omega_1.0.json,2,1.0,2,0.07603283429703529,0.021008433801497774,0.0015973307660695154
analysis_CTNN_N2_omega_1.0.json,2,1.0,3,0.014238069320494649,0.05164656807878705,0.0007353474164714162
analysis_CTNN_N2_omega_1.0.json,2,1.0,4,0.06252093418314164,0.04321718537331205,0.0027019788023054745
analysis_CTNN_N2_omega_1.0.json,2,1.0,5,0.28338216795002924,0.07648099183480159,0.021673349273114557
analysis_CTNN_N2_omega_1.0.json,2,1.0,6,0.42354358722895047,0.07400568969822076,0.03134463529013701
analysis_CTNN_N2_omega_1.0.json,2,1.0,7,0.45951732508416365,0.08779651619386265,0.04034402027311222
analysis_CTNN_N2_omega_1.0.json,2,1.0,8,0.06839476830556102,0.021987688581859215,0.0015038428661310905
analysis_CTNN_N2_omega_1.0.json,2,1.0,9,0.19289159885177698,0.1376575106506811,0.026552977323365395
