ansatz,N,omega,ell,dx_mean_mag,dx_std_mag,dx_max_mag,dx_mean_over_ell,dx_effective_rank,bf_head_delta_mae,com_shift_mean,com_shift_max,dx_up_mean,dx_dn_mean,spin_asymmetry,cka_nobf_vs_bf,eff_rank_noBF,eff_rank_BF,rank_change,pc1_alignment_cos,nf_share_q01,nf_conc_q01,nf_share_q05,nf_conc_q05,nf_share_q10,nf_conc_q10,radial_fraction,radial_proj_mean,tangential_mag_mean,dx_sv_1,dx_sv_2,dx_sv_3,dx_sv_4,dx_sv_5,dx_sv_6,dx_sv_ratio_1_2
ctnn,20,0.01,10.0,0.4638940486842973,0.14098662494785377,1.0525477993030026,0.046389404868429726,37.36994482141585,3.1489588796349044,2.4580516799805106e-17,7.95404291370877e-17,0.4563415719429528,0.4714465254256419,0.03256121419434032,0.999886691570282,2.208955933557314,2.2044377890650586,-0.004518144492255516,0.9999967415050837,0.008858068835832114,0.8858068835832114,0.04071101871550391,0.8142203743100781,0.0860386989717243,0.8603869897172429,0.520439765312308,0.308071538623814,0.2838731188697278,14.438569407395176,14.291207448149525,14.08392293390875,13.905293342086074,13.614206898348653,13.412939209464364,1.0103113722042243
ctnn,20,0.1,3.162277660168379,0.23862528669784844,0.11731058574864227,0.6250711435955688,0.07545994132758808,37.76327944163584,1.6314504228716962,8.729444158672107e-18,4.041272810440266e-17,0.23801027141261055,0.23924030198308632,0.00515465308600449,0.9967883825302124,5.0117495226861015,4.916175721622638,-0.09557380106346347,0.9998720656373491,0.009372487336159424,0.9372487336159424,0.051815785943026015,1.0363157188605203,0.10524370011525624,1.0524370011525623,0.4847350036805034,0.147004399213064,0.15626315542377112,8.427101486483318,7.579488258554336,6.986282210012189,6.889757129915609,6.871328721446266,6.830471265405921,1.1118298754500149
ctnn,20,0.5,1.414213562373095,0.13934677339213816,0.06900569825386652,0.39379925263203336,0.09853304840204608,37.591081222641066,2.045404950328256,4.858221715830821e-18,2.020636405220133e-17,0.13967829365961734,0.13901525312465898,0.004758205151205655,0.9903402924537659,4.814762929307762,4.806560123013921,-0.008202806293841292,0.9995666209896162,0.008722508698833465,0.8722508698833465,0.05022554690797577,1.0045109381595152,0.10187161155731303,1.0187161155731301,0.5317994909245044,0.0943669636158367,0.08308142666333478,5.38142223652579,5.318851041417322,4.122777467287308,4.068111066200489,3.9761062758497134,3.954636272131823,1.0117640435163973
ctnn,20,1.0,1.0,0.09922506594550039,0.04704040119844626,0.3053162702443548,0.09922506594550039,37.62834266356003,1.8873324436109096,3.780312999780107e-18,1.671106944322084e-17,0.10020412142991986,0.0982460104610809,0.019734035449414062,0.9910123348236084,4.511181795268376,4.607397504434496,0.09621570916611955,0.9982215041767335,0.010611769016406043,1.0611769016406043,0.050808925692905696,1.0161785138581139,0.09970953040232053,0.9970953040232052,0.5863921365710187,0.07400909995311554,0.052201835251251084,3.6754388657062806,3.6308452334821615,2.914069247004096,2.8746916851315922,2.8387989064277845,2.794691042443751,1.0122818873723658
ctnn,2,0.001,31.622776601683796,0.09559284086576521,0.04936503216565773,0.41371601953520876,0.003022911051418402,1.8609024500731293,0.00820344050670705,3.168481316506395e-18,2.780381457416894e-17,0.0955928408657652,0.09559284086576521,1.451760161339083e-16,0.999962568283081,1.0498105159370439,1.0498059970209188,-4.518916125073602e-06,0.9999999999955498,0.03567784646884489,3.567784646884489,0.08121090952858112,1.6242181905716224,0.11245546039292813,1.1245546039292813,0.5295775207821367,0.06506946409595094,0.05780105351939055,12.473093110409518,5.66875730146132,1.339667248090794e-15,6.184437061878961e-16,,,2.200322301184802
ctnn,2,0.01,10.0,3.978659599421954e-17,1.5775068008654828e-15,1.2811009635969054e-13,3.978659599421954e-18,1.0123214673086216,1.1553529400548657e-16,3.4885749647226427e-19,1.9709245593799877e-17,3.992854490657722e-17,3.9644647081861864e-17,,1.0,1.5136792462098325,1.5136792462098323,-2.220446049250313e-16,1.0000000000000044,0.9996003428679597,99.96003428679597,0.9999067225468057,19.998134450936114,0.9999079794500135,9.999079794500135,0.024686536277030872,2.5876334747066854e-17,2.2319915090663915e-17,2.0191997464101414e-13,3.345417448991755e-16,0.0,0.0,,,
ctnn,2,0.1,3.162277660168379,1.4514365876711568e-07,2.332031159890089e-07,3.582359946290909e-06,4.589845496343523e-08,1.0477848205478293,6.720282741699618e-08,1.3863168970346238e-17,2.3149983878000362e-17,1.4514365876687504e-07,1.4514365876735629e-07,3.315660270839778e-12,0.9999998211860657,2.281073308523489,2.2810733028099968,-5.7134923459045694e-09,1.0000000000000018,0.19793258883491477,19.793258883491475,0.4762295620899878,9.524591241799754,0.6309218512565673,6.309218512565673,0.5087425413577372,9.381028453246015e-08,9.058609752231312e-08,3.390704643022967e-05,2.7404318914962584e-07,1.4896279834858857e-15,1.4666047410974745e-15,,,123.72884192249214
ctnn,2,0.5,1.414213562373095,1.0855436483648895e-07,6.366291829496842e-08,5.500166518961044e-07,7.675952750327984e-08,1.7121640539345209,6.849923384962691e-08,1.423269688766745e-17,2.3413457853813472e-17,1.0855436483650918e-07,1.0855436483646874e-07,3.724639575985172e-13,1.0,2.5530089982258213,2.553009004771451,6.545629815946086e-09,1.0000000000000007,0.018170745623969333,1.8170745623969333,0.07729576277002136,1.545915255400427,0.13834225236212733,1.3834225236212732,0.5604982031064754,7.718258790237151e-08,6.052095318678925e-08,1.3515854818567263e-05,4.0086900240646604e-06,1.504388590803178e-15,1.4969678793550866e-15,,,3.371638799066508
ctnn,2,1.0,1.0,0.028999046562662147,0.008939971662162932,0.0447886664694809,0.028999046562662147,1.9997637044245091,0.015492725089321943,8.169846211003104e-18,2.4532694666933986e-17,0.028999046562662143,0.028999046562662147,1.196400352148376e-16,0.9999392032623291,2.9493979557554297,2.953930251273177,0.0045322955177473645,0.9999527597962085,0.00025474005714378454,0.025474005714378453,0.004288447464105456,0.08576894928210912,0.014957129837395425,0.14957129837395425,0.5293577856605948,0.019887212330071374,0.017681352577788155,2.787397196553541,2.702998504468873,1.2398888939976811e-15,5.40695119188075e-16,,,1.0312240986982166
ctnn,6,0.001,31.622776601683796,0.5273643408904897,0.2179634434153491,1.249787730090851,0.01667672473967417,9.965319917902466,0.170150999524258,2.8788875480919585e-17,1.486248515593586e-16,0.5276929073994228,0.5270357743815567,0.001246070253359302,0.9991610646247864,4.011015436581872,3.987197674906144,-0.023817761675728466,0.999999106112321,0.012310729637671367,1.2310729637671367,0.05828839606377651,1.16576792127553,0.11417167012239944,1.1417167012239944,0.5741142705895914,0.3851784734275152,0.28573060018243424,47.686278989516765,44.69349395411978,39.702252612853044,39.582956881270704,38.90845297852937,38.625432211395804,1.066962431678965
