ansatz,N,omega,E,E_per_particle,rel_err,Gamma,dx_mean,dx_per_particle,dx_rank,dx_rank_over_2N,BF_improvement_pct,lindemann,corr_rank
bf,6,0.5,11.793761501393076,1.965626916898846,0.07570320337887879,3.241015536886272,0.17298347850216422,0.028830579750360703,9.994034804760817,0.8328362337300681,1.0631524208276173,0.4009919005690751,3.0488717381878736
bf,6,1.0,20.20213848862869,3.367023081438115,0.2124004610705618,2.327403617442137,0.19511074690306876,0.032518457817178124,9.907170814636338,0.8255975678863615,2.0386604182356898,0.4109026819297149,1.3834742119765033
ctnn,12,0.001,0.5158321142639193,0.042986009521993274,48.41678857360807,44.51808165006605,0.5330623837872801,0.04442186531560668,21.89717859315506,0.9123824413814609,0.12396657217833006,0.4333803959440898,1.659563313654738
ctnn,12,0.01,2.4741267955482877,0.20617723296235732,23.706339777414385,21.147177546772642,0.2959962995517606,0.02466635829598005,21.913939405878985,0.913080808578291,0.17931159080043188,0.4007716510369237,1.5397827416762104
ctnn,12,0.1,12.271649452400116,1.0226374543666763,0.014747155628071098,9.455404653012865,0.3047562320563647,0.025396352671363726,21.907376452398715,0.9128073521832798,0.44079833925110884,0.4140695418409838,3.0836516148072026
ctnn,12,0.5,39.15865969568653,3.263221641307211,0.0024012102101829717,4.965904634160943,0.13612589374887968,0.011343824479073306,21.891380040260923,0.9121408350108718,0.5403108030094236,0.4240862837089339,2.323612924451858
ctnn,12,1.0,65.7054288916842,5.475452407640351,0.008110933901471532,3.578923843436148,0.09126556007164721,0.007605463339303935,21.9145026299277,0.9131042762469875,0.6014477906600771,0.4307660421031777,1.761658421060411
ctnn,20,0.001,,,,,0.7421582035448232,0.03710791017724116,37.68058057193248,0.9420145142983121,,0.4800078014457353,2.5942106325662286
ctnn,20,0.01,,,,,0.4638940486842973,0.023194702434214863,37.36994482141585,0.9342486205353963,,0.5078444901039098,1.0898332065060863
ctnn,20,0.1,,,,,0.23862528669784844,0.011931264334892422,37.76327944163584,0.944081986040896,,0.43674076408443385,2.19827920912373
ctnn,20,0.5,,,,,0.13934677339213816,0.006967338669606908,37.591081222641066,0.9397770305660267,,0.4440781540311078,2.304808319978887
ctnn,20,1.0,,,,,0.09922506594550039,0.004961253297275019,37.62834266356003,0.9407085665890008,,0.4472691741206403,2.31925755709677
ctnn,2,0.001,0.013798048164173958,0.006899024082086979,98.62019518358261,8.411523311425242,0.09559284086576521,0.047796420432882604,1.8609024500731293,0.4652256125182823,-0.2080907615915177,0.18997649739958483,1.0001773330131842
ctnn,2,0.01,0.07394275050045418,0.03697137525022709,0.13915289877326215,3.9097304956861016,3.978659599421954e-17,1.989329799710977e-17,1.0123214673086216,0.2530803668271554,-0.12726757763134142,0.2588907508402087,1.0373857056628344
ctnn,2,0.1,0.4407977395757995,0.22039886978789974,0.0017558419654416539,1.8760943480146413,1.4514365876711568e-07,7.257182938355784e-08,1.0477848205478293,0.2619462051369573,-0.0018587777079773849,0.342773373119126,1.308462719575378
ctnn,2,0.5,1.659818572806101,0.8299092864030505,0.0029264781325752214,1.1579842977273815,1.0855436483648895e-07,5.4277182418244476e-08,1.7121640539345209,0.4280410134836302,-0.011989248664281874,0.406271932486549,1.2483485513996138
ctnn,2,1.0,3.0000165238965915,1.5000082619482957,0.0005507965530486084,0.9159707627339355,0.028999046562662147,0.014499523281331073,1.9997637044245091,0.4999409261061273,0.011461280195482558,0.43026743041282645,1.5270447832938887
ctnn,6,0.001,,,,,0.5273643408904897,0.08789405681508161,9.965319917902466,0.8304433264918721,,0.33258901104923766,1.520773219388642
ctnn,6,0.01,0.6902525319520265,0.11504208865867109,13.718433505996689,12.774726644022078,0.3515469543258992,0.058591159054316534,9.889004638218443,0.8240837198515369,0.21135088227839466,0.33906992497502886,1.3800879086204763
ctnn,6,0.1,3.5537947060230612,0.5922991176705102,0.001555889442124188,5.895245278801082,0.303548632127994,0.050591438687999,9.972171413879693,0.8310142844899744,0.40191096857777137,0.3741446123302919,2.729192266352312
ctnn,6,0.5,11.78260624175465,1.9637677069591082,0.018954506343330284,3.241593363128008,0.13202413187660314,0.022004021979433856,9.994234189732286,0.8328528491443571,0.5479016117519271,0.3997417529790021,2.6915924290837916
