ansatz,N,omega,ell,E_mean,E_std,E_stderr,E_DMC,rel_error_pct,T_mean,V_int_mean,V_trap_mean,Gamma_Vint_over_T,virial_2Vt_over_Vi,accept_rate,E_noBF_mean,E_noBF_std,delta_E_BF,E_per_particle,T_fraction,V_int_fraction,V_trap_fraction,BF_improvement_pct
ctnn,12,0.01,10.0,2.4741267955482877,0.02800053891745646,0.0001616611868144808,2.0,23.706339777414385,0.07333029020680815,1.550728666559735,0.8500678387817441,21.147177546772642,1.0963463268756164,0.5358359746434231,2.478571160926065,0.04284365805189308,-0.00444436537777726,0.20617723296235732,0.029638856965112623,0.6267781705246357,0.34358297251025155,0.17931159080043188
ctnn,12,0.1,3.162277660168379,12.271649452400116,0.08694154040434711,0.0005019572175621053,12.26984,0.014747155628071098,0.7587755860596763,7.174530207021228,4.338343659319213,9.455404653012865,1.2093735852066159,0.5372385103011094,12.325982177133307,0.1847987676942743,-0.054332724733191284,1.0226374543666763,0.061831589062485266,0.5846426949246026,0.35352571601291216,0.44079833925110884
ctnn,12,0.5,1.414213562373095,39.15865969568653,0.24204040115177025,0.0013974209075973956,39.1596,0.0024012102101829717,4.136259955338359,20.540272480309095,14.482127260039082,4.965904634160943,1.4101202672868487,0.5328684627575277,39.371387555946015,0.878341337016062,-0.2127278602594842,3.263221641307211,0.1056282310856003,0.5245397222462055,0.36983204666819436,0.5403108030094236
ctnn,12,1.0,1.0,65.7054288916842,0.3982508224568268,0.0022993021955043883,65.7001,0.008110933901471532,8.925810503871826,31.9447960342997,24.83482235351268,3.578923843436148,1.5548587210791447,0.5257012678288431,66.10300394849236,1.5925150094925207,-0.39757505680815086,5.475452407640351,0.1358458601432475,0.4861819878987608,0.3779721519579917,0.6014477906600771
ctnn,2,0.001,31.622776601683796,0.013798048164173958,0.0030196200313932636,9.548876967471858e-06,1,98.62019518358261,0.000947680440168359,0.007971436114257886,0.0048789316097477145,8.411523311425242,1.224103546667369,0.7308168425681618,0.0137693953245765,0.00023609873376774227,2.865283959745807e-05,0.006899024082086979,0.06868220989610478,0.5777220096212868,0.35359578048260853,-0.2080907615915177
ctnn,2,0.01,10.0,0.07394275050045418,0.02016173860912303,6.375701559378404e-05,0.07384,0.13915289877326215,0.009408257976740558,0.03678375312294458,0.027750739400769053,3.9097304956861016,1.508858506526839,0.7310004397537379,0.07384876496617107,0.014734893660925726,9.398553428310863e-05,0.03697137525022709,0.1272370572241936,0.4974626028107873,0.37530033996501927,-0.12726757763134142
ctnn,2,0.1,3.162277660168379,0.4407977395757995,0.003586585394025473,1.1341778867812956e-05,0.44079,0.0017558419654416539,0.09155027467525723,0.17175695287743803,0.17749051202310434,1.8760943480146413,2.066763633723261,0.732353781882146,0.4407895462779742,0.003617847791110798,8.193297825309642e-06,0.22039886978789974,0.20769225078912698,0.38965025783192053,0.40265749137895274,-0.0018587777079773849
ctnn,2,0.5,1.414213562373095,1.659818572806101,0.008269205157129852,2.6149522735740883e-05,1.65977,0.0029264781325752214,0.44910988438903393,0.520062194076661,0.6906464943404063,1.1579842977273815,2.6560150005389542,0.7333256376429199,1.6596195968857492,0.0082246533635281,0.0001989759203517849,0.8299092864030505,0.2705776955066635,0.313324722711977,0.41609758178135964,-0.011989248664281874
ctnn,2,1.0,1.0,3.0000165238965915,0.02172801451523236,6.871001490133357e-05,3.0,0.0005507965530486084,0.8933784834804807,0.8183085709237025,1.288329469492407,0.9159707627339355,3.1487620080482537,0.7331728232189973,3.0003604036093234,0.04704434161716647,-0.00034387971273197593,1.5000082619482957,0.2977911876032303,0.2727680212443753,0.429440791152394,0.011461280195482558
ctnn,6,0.01,10.0,0.6902525319520265,0.005381109152492537,1.701656125985475e-05,0.8,13.718433505996689,0.03264860236265945,0.4170769704923478,0.2405269590970193,12.774726644022078,1.1533936233069109,0.6235532102022867,0.6917144766011705,0.01630554230891083,-0.0014619446491439536,0.11504208865867109,0.047299503951589376,0.6042382333793963,0.34846226266901437,0.21135088227839466
ctnn,6,0.1,3.162277660168379,3.5537947060230612,0.04167896620975536,0.0001318004637440221,3.55385,0.001555889442124188,0.3281444301612841,1.9344919026731813,1.2911583731885967,5.895245278801082,1.3348811348389797,0.6261598504837291,3.568135433704831,0.09099624090106476,-0.01434072768176975,0.5922991176705102,0.09233634953790004,0.5443454286750317,0.3633182217870686,0.40191096857777137
ctnn,6,0.5,1.414213562373095,11.78260624175465,0.1298395089552351,0.0004105885785763722,11.78484,0.018954506343330284,1.7220435126132232,5.582164821504667,4.47839790763676,3.241593363128008,1.604538042439819,0.625967458223395,11.847518989249362,0.49706817511715745,-0.06491274749471287,1.9637677069591082,0.14615132486654148,0.4737631646997463,0.38008551043371225,0.5479016117519271
ctnn,6,1.0,1.0,20.158298808967892,0.21301766669161745,0.0006736210086000957,20.15932,0.005065602570468443,3.6134870426669945,8.669892644263799,7.874919122037104,2.3993147178590237,1.8166128336657854,0.6233729111697449,20.301343997549292,0.9224005519991805,-0.14304518858140014,3.359716468161315,0.17925555508977029,0.4300904915848749,0.3906539533253551,0.7046094514662087
