N,omega,occ,frames_used,pair_rmax,r_star,r_shell0_mean,r_shell0_std,r_shell1_mean,r_shell1_std,r_shell2_mean,r_shell2_std,gap01_mean,gap12_mean,Phi_shell0_reg,Lind_shell0_reg,P_shell0_lab,KL_shell0_lab,Peak_shell0_lab,Phi_shell1_reg,Lind_shell1_reg,P_shell1_lab,KL_shell1_lab,Peak_shell1_lab,Phi_shell2_reg,Lind_shell2_reg,P_shell2_lab,KL_shell2_lab,Peak_shell2_lab,C_global,Count_global_KL,Count_global_Peak,C_global_null,Count_global_KL_null,Count_global_Peak_null,pt
12,0.001,3 9,12000,505.4317403861407,123.53574773788515,77.02338718234577,22.61311841473092,189.42991476260187,27.489033224617234,nan,nan,112.40652758025611,nan,0.6077348920849901,0.27281552259295727,0.010275225384122769,0.002541198527958876,1.219999999999994,0.4663219097133873,0.25329740312186105,0.004282852577924872,0.0009008198930713273,1.0983333333333314,nan,nan,nan,nan,nan,0.005780945779468565,0.0013109145517919034,1.1287499999988682,0.0018678538002107092,0.0010972442385153859,1.1274999999988695,../results/tables/12/omega_0.00100/20260105_112435/gr_N12_run_omega_0.00100.pt
12,0.01,1 11,12000,122.11918318701791,26.659392318245168,10.322157406017125,4.237056713902087,37.66088571076921,10.694785795848775,nan,nan,27.338728304752077,nan,nan,nan,nan,nan,nan,0.2734582879651941,0.4487297941321708,0.002707534848574262,0.0006794635993641019,1.093636363636362,nan,nan,nan,nan,nan,0.0027075348485713084,0.0006794635993633608,1.093636363635169,0.002310060951839754,0.0006096582856337234,1.0922727272715342,../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt
12,0.1,1 11,12000,30.336454243377275,5.8684000853668605,2.3168431023407843,1.0461199854467218,8.474139727039983,2.624817925887826,nan,nan,6.157296624699198,nan,nan,nan,nan,nan,nan,0.2696493072699698,0.5365637206473908,0.0029437445239393037,0.00078953934398426,1.093636363636362,nan,nan,nan,nan,nan,0.0029437445239360923,0.0007895393439833987,1.093636363635169,0.0019843552131923294,0.000559279547496422,1.094999999998804,../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt
12,0.5,1 11,12000,12.227647139209454,1.8984991058347318,0.849724632055618,0.3980794777250292,3.0753023698907778,1.013510545746564,nan,nan,2.225577737835161,nan,nan,nan,nan,nan,nan,0.26729113609302596,0.5963484357367604,0.0036979518598673302,0.0006218136764658325,1.0881818181818166,nan,nan,nan,nan,nan,0.003697951859863296,0.0006218136764651541,1.0881818181806295,0.002349206135063764,0.0006527904486931687,1.114090909089692,../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt
12,1.0,1 11,12000,7.728658123819887,1.42380841367379,0.5552996367378314,0.2651272121334302,2.0015018560171316,0.6734211792459385,nan,nan,1.4462022192793003,nan,nan,nan,nan,nan,nan,0.2665890142096638,0.6192839009748606,0.002896413369330358,0.0006153389846501564,1.1277272727272711,nan,nan,nan,nan,nan,0.002896413369327198,0.0006153389846494851,1.1277272727260408,0.004673803624042112,0.0007052755717646889,1.114090909089692,../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt
20,0.001,1 7 12,12000,610.7381333396955,121.87285686614129,38.03883820813981,18.525904148899226,132.04182037505868,31.1654084346928,247.23471882837913,25.864207251232386,94.00298216691888,115.19289845332041,nan,nan,nan,nan,nan,0.40703195489116006,0.350333120331145,0.01916270992090243,0.0014497150785705859,1.1292857142857118,0.38408894923381315,0.26932564714593005,0.044416501457724585,0.0030046301735951048,1.1662499999999985,0.03511247299675315,0.0024317667175308803,1.1526315789461532,0.002921255695011693,0.0007742572729514547,1.1068421052619908,../results/tables/20/omega_0.00100/20260107_113934/gr_N20_run_omega_0.00100.pt
20,0.01,1 19,12000,147.21509206538803,25.061684075868982,10.431547231281584,4.98447501971883,44.73060952229175,14.295603224190351,nan,nan,34.299062291010166,nan,nan,nan,nan,nan,nan,0.2040145919808171,0.5717921707414989,0.002335640951109495,0.0004562728466842487,1.087105263157894,nan,nan,nan,nan,nan,0.0023356409511070364,0.0004562728466837684,1.0871052631567497,0.0008606967684568522,0.00038248988318378307,1.0871052631567497,../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt
20,0.1,1 19,12000,35.777233158262845,5.454895991704016,2.3625858086979443,0.9861541779843668,9.928566382100401,3.3396764037295985,nan,nan,7.565980573402456,nan,nan,nan,nan,nan,nan,0.20328725711234202,0.6271287691316417,0.0027248630367750284,0.00041805294072693074,1.0578947368421043,nan,nan,nan,nan,nan,0.00272486303677216,0.0004180529407264907,1.0578947368409908,0.0020518783722416264,0.00032151096422494794,1.0878947368409593,../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt
20,0.5,1 19,12000,14.207659985635722,2.11535953216119,0.849940449857929,0.3706170489049054,3.561577933356984,1.2477351694634793,nan,nan,2.711637483499056,nan,nan,nan,nan,nan,nan,0.20332417185684487,0.6761300877290316,0.003335602376404532,0.0003380612944171139,1.0878947368421044,nan,nan,nan,nan,nan,0.003335602376401021,0.0003380612944167581,1.0878947368409593,0.002588147402682809,0.00038910524866298755,1.0768421052620236,../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt
20,1.0,1 19,12000,9.574104125021629,1.39502685262857,0.5484709822257609,0.2454700940213116,2.3176994261812855,0.8263036094405299,nan,nan,1.7692284439555248,nan,nan,nan,nan,nan,nan,0.20412411430302072,0.6924302181810663,0.003035368763988835,0.0004167153689666948,1.0997368421052622,nan,nan,nan,nan,nan,0.0030353687639856396,0.0004167153689662561,1.0997368421041047,0.0031385508501999572,0.0003885904917787874,1.0697368421041364,../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt
