C_global,C_global_se,Ctilde_global,Ctilde_global_se,Lind_shell0_reg,Lind_shell0_reg_se,Lind_shell1_reg,Lind_shell1_reg_se,Lind_shell2_reg,Lind_shell2_reg_se,N,P_shell0_lab,P_shell0_lab_se,P_shell1_lab,P_shell1_lab_se,P_shell2_lab,P_shell2_lab_se,Phi_shell0_reg,Phi_shell0_reg_se,Phi_shell1_reg,Phi_shell1_reg_se,Phi_shell2_reg,Phi_shell2_reg_se,Pin_shell0,Pin_shell0_se,Pin_shell1,Pin_shell1_se,Pin_shell2,Pin_shell2_se,VCI_global,VCI_global_se,VCI_shell0,VCI_shell0_se,VCI_shell1,VCI_shell1_se,VCI_shell2,VCI_shell2_se,bounds,frames_used,gap01_mean,gap01_se,gap12_mean,gap12_se,occ,omega,pair_rmax,phaseH_shell0,phaseH_shell1,phaseH_shell2,phaseNeff_shell0,phaseNeff_shell1,phaseNeff_shell2,phaseR_shell0,phaseR_shell1,phaseR_shell2,phaseRayleighP_shell0,phaseRayleighP_shell1,phaseRayleighP_shell2,pt,r_shell0_intra_std_mean,r_shell0_intra_std_se,r_shell0_mean,r_shell0_mean_se,r_shell0_std,r_shell1_intra_std_mean,r_shell1_intra_std_se,r_shell1_mean,r_shell1_mean_se,r_shell1_std,r_shell2_intra_std_mean,r_shell2_intra_std_se,r_shell2_mean,r_shell2_mean_se,r_shell2_std,r_star,radLind_shell0,radLind_shell0_se,radLind_shell1,radLind_shell1_se,radLind_shell2,radLind_shell2_se,shell0_n,shell1_n,shell2_n
0.02063906997695748,0.0048077487609741515,1.0683995273876543,0.004338284347125492,0.27362863193303416,0.0012776003342326809,0.25474918082944614,0.0009643447968821715,,,12,0.012294751986026288,0.003217809023668339,0.008344317990931192,0.002461936506351935,,,0.6079797717426224,0.0027515969871542436,0.4604197556450319,0.0021177722116884896,,,0.020222304355269005,0.005211964822455645,0.018123284000359837,0.005361076063805312,,,0.0718323072148119,0.01825945406435789,0.0739041971317463,0.019332657606983616,0.07114167724250044,0.020929746494882457,,,3,12000,112.33496625076607,0.09189149110684645,nan,nan,3 9,0.001,433.23885612087616,4.090956451860933,4.091344721777561,,59.797057368482655,59.820279274853796,,0.0158422242754341,0.019049995957205985,,0.049204198392639086,0.01284190235657224,,../results/tables/12/omega_0.00100/20260105_112435/gr_N12_run_omega_0.00100.pt,18.417612167022085,0.0807150448907576,77.08465812400266,0.07398003321447372,8.173059249313495,26.17921260170822,0.0855912159972561,189.41962437476874,0.04654069733463421,5.772788188199507,,,,,,108.62910476237283,0.2389270785555602,0.0010750365247280008,0.1382074992922189,0.0004658010255272397,,,3,9,
0.004618526929742374,0.0014964211437845539,0.2754976123417027,0.0011880614230508407,nan,nan,0.45000838696372086,0.0009575842208893552,,,12,nan,nan,0.004618526929742374,0.0014964211437845539,,,nan,nan,0.2754976123417027,0.0011880614230508407,,,nan,nan,0.01676430837452763,0.00547806318040513,,,0.034148880602728006,0.011104978243978362,nan,nan,0.0372533242938851,0.012114521720703668,,,1,12000,27.324211376474185,0.027896097789178967,nan,nan,1 11,0.01,99.53209950972409,nan,4.091826403765621,,nan,59.849100566692556,,nan,0.014700616084722142,,nan,0.07477068249453296,,../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt,0.0,0.0,10.33801863432126,0.030523102567582432,4.268664147107595,10.485432279657383,0.013002242681262148,37.66223001079545,0.011835970742958378,1.6041388446857257,,,,,,22.010816397270133,0.0,0.0,0.27840710113691763,0.000341698361438442,,,1,11,
0.001432349026915959,0.0009938946482337676,0.2679709879974719,0.0013679463427834376,nan,nan,0.5359267324159951,0.001378596844704757,,,12,nan,nan,0.001432349026915959,0.0009938946482337676,,,nan,nan,0.2679709879974719,0.0013679463427834376,,,nan,nan,0.005345164555386392,0.0037921235319867855,,,0.009142544828250151,0.006423255998240686,nan,nan,0.009973685267181984,0.007007188361717111,,,1,12000,6.161463809056804,0.009768078891501868,nan,nan,1 11,0.1,23.58652142118728,nan,4.0920973391035025,,nan,59.86531799981515,,nan,0.006230248369062001,,nan,0.6276472031499711,,../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt,0.0,0.0,2.316759887416381,0.010020525907704822,1.0539129260825781,2.5529301093047203,0.0031771563522119198,8.478223696473185,0.005059824010989194,0.4920401486872665,,,,,,4.434784044631774,0.0,0.0,0.30111615365453276,0.00037127433398913734,,,1,11,
0.003769978012983786,0.001463217971034608,0.26887688970282786,0.001272219563771274,nan,nan,0.5976355493374003,0.0010241102217690755,,,12,nan,nan,0.003769978012983786,0.001463217971034608,,,nan,nan,0.26887688970282786,0.001272219563771274,,,nan,nan,0.014021205084417994,0.005475351305356193,,,0.021506035478701113,0.008389004722484623,nan,nan,0.02346112961312849,0.009151641515437771,,,1,12000,2.231800424509662,0.004137706941397193,nan,nan,1 11,0.5,8.829920318992357,nan,4.091037665465136,,nan,59.801913900237864,,nan,0.015307174976673754,,nan,0.06009895518891028,,../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt,0.0,0.0,0.8448930811353621,0.0036478467184976235,0.4012093210692219,0.9764308118751756,0.0019937586198567913,3.0766935056450238,0.002083700708464274,0.22062742965024282,,,,,,1.486468688978444,0.0,0.0,0.3173636925756985,0.0006184309359452704,,,1,11,
0.003175436301489903,0.0013103650777185724,0.26777807541831217,0.001412611701943182,nan,nan,0.6178485017155094,0.0009722241408965825,,,12,nan,nan,0.003175436301489903,0.0013103650777185724,,,nan,nan,0.26777807541831217,0.001412611701943182,,,nan,nan,0.011858462633766277,0.004941975407344298,,,0.017593726268014812,0.007388155698576237,nan,nan,0.019193155928743433,0.008059806216628622,,,1,12000,1.4549505764624324,0.0024356649511138033,nan,nan,1 11,1.0,5.806849786405504,nan,4.091908181604748,,nan,59.853995096939926,,nan,0.011092132410697196,,nan,0.22845667075369597,,../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt,0.0,0.0,0.5470082754753108,0.002247618026567737,0.2617423057554923,0.6479338887136642,0.0009873848116986647,2.001958851937743,0.0015423172204721495,0.1525169697307376,,,,,,0.9293888817544651,0.0,0.0,0.32364995318785583,0.0004565427765649719,,,1,11,
0.055982977675011814,0.004046845412968658,0.7909167400410223,0.0026708330464990868,nan,nan,0.3513622860797421,0.0008477432874562597,0.2696066016725687,0.0007273486225426969,20,nan,nan,0.01883297607750518,0.0024218748096310684,0.03715000159750663,0.00258150844888956,nan,nan,0.40440703801756567,0.001809308594325895,0.38650970202345664,0.001987588995936897,nan,nan,0.04656935786732564,0.0058437350540838096,0.09611660820677681,0.006583355607226488,0.2602929288368567,0.01724991488813921,nan,nan,0.13253943212549757,0.01678438876076227,0.3565068793215542,0.02444295099105013,1 8,12000,93.98893954804083,0.1839935348992262,115.19278556363294,0.04995206967522079,1 7 12,0.001,537.7227526922062,nan,4.090623412531215,4.087264963210685,nan,59.7771459124106,59.57672413890511,nan,0.03902380202011388,0.06987779200492751,nan,1.1504973028212941e-08,3.3304726056010226e-26,../results/tables/20/omega_0.00100/20260107_113934/gr_N20_run_omega_0.00100.pt,0.0,0.0,38.0438464050393,0.18842291430805666,18.538046449050892,29.78702998040472,0.07198553814368863,132.03278595308012,0.03803435723177479,5.573712435093248,24.986318788891367,0.052912458948697005,247.22557151671305,0.05066149692100954,4.731129552086507,100.79004405875872,0.0,0.0,0.22560328304357677,0.000560956959639033,0.10106688655061813,0.00022207930170186797,1,7,12
0.00043022455861955875,0.0006841266602653652,0.20318063376550313,0.0007676618870615962,nan,nan,0.5716050302788982,0.0010704969278908724,,,20,nan,nan,0.00043022455861955875,0.0006841266602653652,,,nan,nan,0.20318063376550313,0.0007676618870615962,,,nan,nan,0.0021174486497374245,0.0033863003511486614,,,0.003519171649467575,0.005619932920389157,nan,nan,0.0037043912099658685,0.005915718863567535,,,1,12000,34.29363332291574,0.04821887856755554,nan,nan,1 19,0.01,121.72914659510694,nan,4.091191472144124,,nan,59.81111254140006,,nan,0.0033365202733938782,,nan,0.8749546556684172,,../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt,0.0,0.0,10.314963442255234,0.0501066857733162,4.292087731452268,14.077209997618203,0.007991257848762286,44.60859676517098,0.011905117102180535,2.1655559610405892,,,,,,19.62611174011557,0.0,0.0,0.3155716839003834,0.00018820377136495437,,,1,19,
0.002470282069413848,0.0006805043177931882,0.2055976179649887,0.0009032714561847005,nan,nan,0.6268140773740529,0.000665112252179426,,,20,nan,nan,0.002470282069413848,0.0006805043177931882,,,nan,nan,0.2055976179649887,0.0009032714561847005,,,nan,nan,0.01201512981456095,0.0033721269113741277,,,0.018210141947755495,0.0051153486640014975,nan,nan,0.019168570471321575,0.005384577541054208,,,1,12000,7.560871063174023,0.010439802257416073,nan,nan,1 19,0.1,28.058697456579313,nan,4.092117880011362,,nan,59.86654770042568,,nan,0.01117672936943823,,nan,0.22334989383235498,,../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt,0.0,0.0,2.365742806108177,0.009999884185122728,0.9851822002956516,3.299860235514953,0.0033781800135262224,9.926613869282198,0.0031467352177555466,0.37402107692096803,,,,,,3.9497578413298777,0.0,0.0,0.3324255661566867,0.0003250632751096715,,,1,19,
0.0024311554265706763,0.0009212092903513486,0.20339101913238783,0.0009863386829686881,nan,nan,0.6741198721594976,0.0009187811247827742,,,20,nan,nan,0.0024311554265706763,0.0009212092903513486,,,nan,nan,0.20339101913238783,0.0009863386829686881,,,nan,nan,0.011953110992517472,0.00447172103758866,,,0.0168448608502152,0.006287716067177583,nan,nan,0.01773143247391074,0.006618648491765877,,,1,12000,2.708452645884038,0.003743154120557189,nan,nan,1 19,0.5,10.30568336511337,nan,4.091402094298357,,nan,59.82371141352482,,nan,0.012542902753334558,,nan,0.15139113339550678,,../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt,0.0,0.0,0.8478059001636573,0.0032171627643198765,0.37617851603762165,1.2300090466456297,0.0013622347323751132,3.556258546047696,0.0014327192330464945,0.16715176956989541,,,,,,1.3913822880525086,0.0,0.0,0.3458716599817017,0.0003612492812269733,,,1,19,
0.002960155678567682,0.001016183381298827,0.20273497459532241,0.0009531642393527528,nan,nan,0.6919571380585064,0.0009853196990021334,,,20,nan,nan,0.002960155678567682,0.001016183381298827,,,nan,nan,0.20273497459532241,0.0009531642393527528,,,nan,nan,0.01460111006734987,0.004980484429591938,,,0.020046118178507103,0.006824187409076058,nan,nan,0.021101177030007478,0.007183355167448483,,,1,12000,1.7646101641943714,0.0021289502939786714,nan,nan,1 19,1.0,6.784185599937612,nan,4.092191335578136,,nan,59.87094539313335,,nan,0.01456644064157153,,nan,0.07837868293474844,,../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt,0.0,0.0,0.5547219809730404,0.002200154521730764,0.2463711415789474,0.8121154425040655,0.0008509123233942083,2.3193321451674116,0.0010781894871430622,0.11786726106882804,,,,,,0.8296794667136804,0.0,0.0,0.35015055700245395,0.00038788557485410727,,,1,19,
