bfarch,seed,omega,error_pct,error_pct_raw,var_EL,deff,dx_mag,alive,bf_rank,T_full,Vc_full,dE_backflow,dT_backflow,dVc_backflow,err_pct_nobf,dE_msg,dT_msg,dVc_msg,dE_bf_over_w,dE_msg_over_w,N
ctnn,0,0.01,-0.005379401954181515,-0.006449000829355424,0.00014154827251458142,9.298793245562281,0.08755476009001288,True,20.577837170424054,0.07625331738143824,1.548342712470544,0.06245265538466249,-0.011373520488414612,0.07699669419550847,2.518802650076005,0.06321951158436301,-0.004477140784751546,0.10305927618177302,6.245265538466249,6.321951158436301,12
ctnn,0,0.1,-0.004026043205337904,0.0041134877809147555,0.0030392097382424847,5.389091619893254,0.14739447884808915,True,18.64547045001477,0.7720135496770151,7.195617019794387,0.11916391507564761,0.13722391076984963,0.3644247623750223,0.9455161957239062,0.08382075781865161,0.0943939807488734,0.18498833897600342,1.191639150756476,0.8382075781865161,12
ctnn,0,0.28,-0.02362297692656747,-0.027032990693782136,0.012537534369067809,4.417238386820567,0.14002106494714142,True,20.670867838935884,2.3576201228025186,14.102401763881518,0.20265593633803292,0.210966111926155,0.6046371138166471,0.7772408258828566,0.15423492545555106,0.19326363035934957,0.23775121921747377,0.7237712012072604,0.5508390194841108,12
ctnn,0,0.5,0.0070582186317445636,0.006292264152493655,0.03366818917366303,3.992592386887054,0.1605120804828867,True,21.365325728765416,3.977782854155142,20.616257958878684,0.2277393493969342,0.5607603105722352,0.09353207060525648,0.5454026302585308,0.2158683006521116,0.441250719416153,0.2313940433968611,0.4554786987938684,0.4317366013042232,12
ctnn,0,1.0,-0.009440153439267204,-0.008188239433353344,0.1257628080057154,3.8967329099157237,0.12467092289814398,True,20.860043363376395,9.519003099032116,32.475579714950726,0.1598942596026376,-0.07656719183323446,-0.7754955514194783,0.23208779609282826,0.23057221299254138,-0.6333915322434542,-0.3419311812514607,0.1598942596026376,0.23057221299254138,12
ctnn,1,0.01,-0.0037598589780803893,-0.0012501734410508638,0.0001288370760714813,9.204794274501527,0.08566549727277106,True,21.039382430923887,0.07547428716881982,1.5495601503583283,0.06584441065230573,-0.013597943715679982,0.07666398418903575,2.6392680077113524,0.06726547533628091,-0.012523621697298093,0.09620659456988889,6.584441065230573,6.726547533628091,12
ctnn,1,0.1,0.01741950501308705,0.019314930425790397,0.0033206964232127636,5.124433259879076,0.1454450259480992,True,17.726452742013677,0.7565891603582322,7.188058267796674,0.10027703642143138,0.15642288811523386,0.38484166476044557,0.8059523641835443,0.0916155866110735,0.06410752853080814,0.18800217964486343,1.0027703642143138,0.916155866110735,12
ctnn,1,0.28,-0.02486244430632958,-0.021544373435844887,0.013950180749751054,4.362163044366778,0.13502737964883693,True,20.250951591784684,2.250350032793143,14.214252454785791,0.18787182516180678,0.2637545112271611,0.44031473083329864,0.727031032437103,0.13468707755850673,0.250012146231235,0.24950290032513145,0.6709708041493099,0.48102527699466685,12
ctnn,1,0.5,-0.022815310534657792,-0.02288980814331949,0.037474295630225175,4.069485954438355,0.1497957930682911,True,21.513149364289657,4.049899965017288,20.64788927707167,0.1709460199479338,0.42193756587442355,-0.024811086839349628,0.41580600139985174,0.1672430918611738,0.3645327226278612,0.13181472672380679,0.3418920398958676,0.3344861837223476,12
ctnn,1,1.0,7.653289896649031e-05,0.00010647569686351852,0.15109111550841595,3.9107082626349388,0.1354314116180802,True,20.70151991599058,8.881996111774516,32.13672435207472,0.20070688193308683,0.21759127442703985,-0.8028971259156314,0.2973116752213167,0.3014175244395574,0.5502011983127559,-0.22800237290579872,0.20070688193308683,0.3014175244395574,12
